route.features.endpointSlug;"fonctionnalite"

features.title;"Fonctionnalités"
features.subtitle;"Odio adipiscing eget lorem tempus et habitant."
features.block-title;"Outils Essentiels"

technology.title;"Technologie"
technology.subtitle;"A comprehensive open-source PHP framework by Locomotive."

support.title;"Support"
support.subtitle;"Odio adipiscing eget lorem tempus et habitant."
support.cta;"J'ai besoin<br>d'aide"

contact.title;"Contactez<br>nous"
contact.subtitle;"Lorem ipsum dolor <br> consectetur adipisicing elit."

site.get-in-touch;"Contactez-nous"
site.error.title;"Page non trouvée"
site.error.text;"La page que vous cherchez n'a pu être trouvée."
site.back-home;"Retour à l'accueil"
site.website-by;"Site web par"
site.learn-more;"En savoir plus"
site.scroll;"Défiler"

partners.title;"Ils nous font confiance"

case-studies.title;"Études <br>de Cas"
case-studies.featuring;"Fonctionnalités"
case-studies.cta;"Voir le site"

"admin.app.contact.available-tags";"Balises de soumission disponibles :"
"admin.app.contact.view-item";"Voir le message dans Charcoal"
"admin.app.view-item";"Voir dans Charcoal"

"errorTryAgain";"Une erreur est survenue. Veuillez essayer à nouveau."
"errorTryLater";"Une erreur est survenue. Veuillez essayer à nouveau plus tard."

"form.success.message";"Merci! Notre équipe vous contactera dans les plus brefs délais."
"form.warning.message";"Il y a un problème avec votre formulaire. S’ll vous plaît, réessayez."
"form.submit.label";"Envoyer"
"form.field.required";"Veuillez remplir ce champ."
"form.field.mismatch.email";"Veuillez entrer une adresse courriel."

"contact.form.label";"Votre Message"
"contact.form.field.name.label";"Nom complet"
"contact.form.field.email.label";"Adresse courriel"
"contact.form.field.message.label";"Message"
"contact.form.field.lang.label";"Langue de la source"
"contact.form.field.origin.label";"URL de la source"
"contact.form.field.ip.label";"IP du visiteur"
"contact.form.field.ts.label";"Date de soumission"
